ObjectID,county_nam,Number_of_towns
1,Allen,2
2,Anderson,1
3,Atchison,2
4,Barber,0
5,Barton,0
6,Bourbon,0
7,Brown,0
8,Butler,3
9,Chase,5
10,Chautauqua,0
11,Cherokee,1
12,Cheyenne,6
13,Clark,1
14,Clay,2
15,Cloud,3
16,Coffey,0
17,Comanche,0
18,Cowley,2
19,Crawford,0
20,Decatur,10
21,Dickinson,0
22,Doniphan,1
23,Douglas,8
24,Edwards,0
25,Elk,3
26,Ellis,10
27,Ellsworth,1
28,Finney,2
29,Ford,0
30,Franklin,3
31,Geary,2
32,Gove,3
33,Graham,11
34,Grant,0
35,Gray,0
36,Greeley,1
37,Greenwood,3
38,Hamilton,0
39,Harper,1
40,Harvey,1
41,Haskell,1
42,Hodgeman,0
43,Jackson,0
44,Jefferson,0
45,Jewell,2
46,Johnson,0
47,Kearny,0
48,Kingman,0
49,Kiowa,0
50,Labette,1
51,Lane,0
52,Leavenworth,1
53,Lincoln,19
54,Linn,1
55,Logan,2
56,Lyon,0
57,Marion,6
58,Marshall,2
59,McPherson,0
60,Meade,0
61,Miami,0
62,Mitchell,8
63,Montgomery,1
64,Morris,1
65,Morton,11
66,Nemaha,0
67,Neosho,0
68,Ness,0
69,Norton,0
70,Osage,0
71,Osborne,16
72,Ottawa,1
73,Pawnee,0
74,Phillips,11
75,Pottawatomie,0
76,Pratt,0
77,Rawlins,11
78,Reno,1
79,Republic,2
80,Rice,2
81,Riley,0
82,Rooks,20
83,Rush,12
84,Russell,12
85,Saline,0
86,Scott,0
87,Sedgwick,0
88,Seward,1
89,Shawnee,1
90,Sheridan,10
91,Sherman,0
92,Smith,16
93,Stafford,0
94,Stanton,0
95,Stevens,1
96,Sumner,7
97,Thomas,5
98,Trego,4
99,Wabaunsee,1
100,Wallace,0
101,Washington,0
102,Wichita,1
103,Wilson,0
104,Woodson,0
105,Wyandotte,0
